MFCC_N,K_N,TEST_SIZE,RANDOM_STATE,ACCURACY
3,6,0.1,0,0.52
3,6,0.1,42,0.51
3,6,0.1,99,0.51
3,6,0.2,0,0.485
3,6,0.2,42,0.48
3,6,0.2,99,0.5
3,6,0.3,0,0.49666666666666665
3,6,0.3,42,0.48
3,6,0.3,99,0.4866666666666667
3,6,0.4,0,0.5
3,6,0.4,42,0.4775
3,6,0.4,99,0.475
3,7,0.1,0,0.47
3,7,0.1,42,0.47
3,7,0.1,99,0.52
3,7,0.2,0,0.5
3,7,0.2,42,0.46
3,7,0.2,99,0.525
3,7,0.3,0,0.49666666666666665
3,7,0.3,42,0.4633333333333333
3,7,0.3,99,0.5
3,7,0.4,0,0.5075
3,7,0.4,42,0.495
3,7,0.4,99,0.485
3,8,0.1,0,0.53
3,8,0.1,42,0.49
3,8,0.1,99,0.52
3,8,0.2,0,0.51
3,8,0.2,42,0.46
3,8,0.2,99,0.52
3,8,0.3,0,0.5033333333333333
3,8,0.3,42,0.48
3,8,0.3,99,0.49333333333333335
3,8,0.4,0,0.5025
3,8,0.4,42,0.4925
3,8,0.4,99,0.4925
3,9,0.1,0,0.5
3,9,0.1,42,0.5
3,9,0.1,99,0.5
3,9,0.2,0,0.5
3,9,0.2,42,0.505
3,9,0.2,99,0.53
3,9,0.3,0,0.5066666666666667
3,9,0.3,42,0.5
3,9,0.3,99,0.5033333333333333
3,9,0.4,0,0.5025
3,9,0.4,42,0.49
3,9,0.4,99,0.51
3,10,0.1,0,0.52
3,10,0.1,42,0.51
3,10,0.1,99,0.49
3,10,0.2,0,0.495
3,10,0.2,42,0.515
3,10,0.2,99,0.505
3,10,0.3,0,0.49333333333333335
3,10,0.3,42,0.48
3,10,0.3,99,0.49
3,10,0.4,0,0.5
3,10,0.4,42,0.4925
3,10,0.4,99,0.4925
3,11,0.1,0,0.54
3,11,0.1,42,0.51
3,11,0.1,99,0.49
3,11,0.2,0,0.49
3,11,0.2,42,0.515
3,11,0.2,99,0.505
3,11,0.3,0,0.4866666666666667
3,11,0.3,42,0.48
3,11,0.3,99,0.47333333333333333
3,11,0.4,0,0.505
3,11,0.4,42,0.4875
3,11,0.4,99,0.5025
3,12,0.1,0,0.51
3,12,0.1,42,0.51
3,12,0.1,99,0.49
3,12,0.2,0,0.485
3,12,0.2,42,0.525
3,12,0.2,99,0.485
3,12,0.3,0,0.49
3,12,0.3,42,0.48333333333333334
3,12,0.3,99,0.49666666666666665
3,12,0.4,0,0.5025
3,12,0.4,42,0.485
3,12,0.4,99,0.5025
3,13,0.1,0,0.49
3,13,0.1,42,0.52
3,13,0.1,99,0.52
3,13,0.2,0,0.49
3,13,0.2,42,0.535
3,13,0.2,99,0.49
3,13,0.3,0,0.48333333333333334
3,13,0.3,42,0.51
3,13,0.3,99,0.49
3,13,0.4,0,0.4975
3,13,0.4,42,0.485
3,13,0.4,99,0.505
3,14,0.1,0,0.48
3,14,0.1,42,0.53
3,14,0.1,99,0.49
3,14,0.2,0,0.495
3,14,0.2,42,0.535
3,14,0.2,99,0.485
3,14,0.3,0,0.48
3,14,0.3,42,0.5
3,14,0.3,99,0.49333333333333335
3,14,0.4,0,0.51
3,14,0.4,42,0.48
3,14,0.4,99,0.5
3,15,0.1,0,0.48
3,15,0.1,42,0.52
3,15,0.1,99,0.51
3,15,0.2,0,0.495
3,15,0.2,42,0.535
3,15,0.2,99,0.485
3,15,0.3,0,0.49333333333333335
3,15,0.3,42,0.51
3,15,0.3,99,0.5
3,15,0.4,0,0.4925
3,15,0.4,42,0.4775
3,15,0.4,99,0.495
3,16,0.1,0,0.5
3,16,0.1,42,0.54
3,16,0.1,99,0.49
3,16,0.2,0,0.51
3,16,0.2,42,0.515
3,16,0.2,99,0.485
3,16,0.3,0,0.48333333333333334
3,16,0.3,42,0.5033333333333333
3,16,0.3,99,0.48333333333333334
3,16,0.4,0,0.4925
3,16,0.4,42,0.4875
3,16,0.4,99,0.5
3,17,0.1,0,0.5
3,17,0.1,42,0.54
3,17,0.1,99,0.49
3,17,0.2,0,0.5
3,17,0.2,42,0.51
3,17,0.2,99,0.49
3,17,0.3,0,0.5
3,17,0.3,42,0.5133333333333333
3,17,0.3,99,0.4766666666666667
3,17,0.4,0,0.4975
3,17,0.4,42,0.5
3,17,0.4,99,0.5025
3,18,0.1,0,0.5
